,Unnamed: 0,dt,E,dE,K,dK,neff
0,0,1,-42.79742990695959,0.005711384312347959,7.4470970728290675,0.0003349757250285924,3315.54678068624
1,1,3,-42.790095847850964,0.00511854703834469,7.297616380491826,0.00034287767097152417,4055.9865990235176
2,2,6,-42.7930393408529,0.005122332928437772,7.298445742771919,0.00035168236307953825,4027.625372167185
3,3,9,-42.78874206367147,0.005438223440125391,7.316016337114428,0.00034438512501371716,3638.5903535496523
4,4,15,-42.825924144184015,0.00512221429788219,7.309093413142199,0.0003320009659504971,4050.088009746177
5,5,30,-42.987312067547606,0.005502111287707166,7.466515940917853,0.0003798430351955453,3573.895608944458
6,6,45,-43.023434304039796,0.006269621961832509,7.684882936101508,0.0004673498898896493,2847.884978034485
7,7,90,-43.19815368955758,0.0060732970010701935,8.380527846518824,0.0005723645273147447,2956.6625319565223
