,Unnamed: 0,dt,E,dE,K,dK,neff
0,0,1,-42.81850879415911,0.005505328054379133,8.914959732505126,0.0004819758118348288,3562.4127084255824
1,1,3,-42.76919178578292,0.0052829927864189215,8.640503254196298,0.0004945666737161886,3865.12773990576
2,2,6,-42.779557689707346,0.0054132772588676,8.63762343142184,0.0005082486700693808,3720.337986687442
3,3,9,-42.765215747634635,0.005358710371186871,8.644661700204166,0.000483698963185271,3828.1917087191778
4,4,15,-42.86606263456253,0.005208046414129607,8.64426696938143,0.0005331586684010206,3940.0011495683134
5,5,30,-43.2072927080861,0.005942730067531917,8.916201967004406,0.000529910232750813,3064.5936751137706
6,6,45,-43.24640742388721,0.005635649312106771,8.932077391953127,0.0005695739651483605,3299.8643661151928
7,7,90,-43.379618743327434,0.0065075939948362645,10.521551932577557,0.0012226973493203582,2633.5554940483944
