,Unnamed: 0,dt,E,dE,K,dK,neff
0,0,1,-42.799710975993975,0.005472960738249744,5.596172073080604,0.00021870511447029598,3597.087224503623
1,1,3,-42.81468579534695,0.005365472867440731,5.54779699165767,0.00022195286640337974,3682.8902941528386
2,2,6,-42.835354471417105,0.005439407650725999,5.547875462064621,0.00021949126421514308,3656.0143989152193
3,3,9,-42.822628691463095,0.005709035835453506,5.555060722750714,0.00022206516975093897,3320.183509804841
4,4,15,-42.79146869549106,0.005947832789392754,5.582104878669231,0.00022693012771802124,3122.529542717297
5,5,30,-42.70414200278557,0.006070664856472376,5.701565875002563,0.00021986329372365292,3065.374255913416
6,6,45,-42.65330441852166,0.006222460893896772,5.7255762445463265,0.00022690008658677783,2949.0338421906376
7,7,90,-42.35197851661183,0.006098274857057608,6.1013222582623055,0.00027556187247169836,3240.8826993614416
