,Unnamed: 0,dt,E,dE,K,dK,neff
0,0,1,-42.802888188058006,0.005592438744131264,5.596737103502357,0.000214047935431258,3450.858910335237
1,1,3,-42.821445519317024,0.005333031219859482,5.547235506061552,0.00022805327670337997,3711.1639907592
2,2,6,-42.82275830752744,0.0053015433042310324,5.5486851299791375,0.00022248054692143652,3818.772259897978
3,3,9,-42.823672321589015,0.00557531849116976,5.5545957989773,0.00020864466135971782,3519.0282909900207
4,4,15,-42.79999130829036,0.005866309181831041,5.582426319892613,0.00022556269633450395,3208.236089027421
5,5,30,-42.68613877134312,0.006218448826750243,5.701257318040838,0.0002197494025624477,2938.1353565386003
6,6,45,-42.671762530629636,0.005944203849550597,5.7255942112374285,0.0002380232836205499,3228.18942185702
7,7,90,-42.35567618428763,0.006035037958212439,6.1011130970858325,0.0002922114304942564,3308.9152797360966
