,Unnamed: 0,dt,E,dE,K,dK,neff
0,0,1,-42.78496972468232,0.004498938579992097,8.925766879261266,0.0005155040396609697,5303.949751787036
1,1,3,-42.689846616823466,0.004566902882960159,8.724727106322408,0.0005458963473910776,5264.090844714874
2,2,6,-42.68328914033325,0.004549325372349357,8.724295167652246,0.0005097366030646775,5295.928117542775
3,3,9,-42.577886383462335,0.004438141841023294,8.819947791977814,0.0005725425725138535,5660.349104992771
4,4,15,-42.65224083596108,0.0045165810806266655,8.81882717444745,0.0005227874595217691,5379.070371263857
5,5,30,-42.133296023159076,0.004918696653801339,9.352969786220877,0.0005738954458230579,4948.834668542807
6,6,45,-41.7482385949936,0.0049741746272839215,9.711127015663974,0.000920946067262958,5214.328948724111
7,7,90,-41.56418740771421,0.005163139906354352,11.03626989241626,0.0010135506706489053,4954.129038701001
